kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00761.01",,"FALSE POSITIVE","FALSE POSITIVE",297.923650,48.777321,2.701287801,6.54,860.4,3.3827,1222.0,527.81,5550.00,0.9100,0.8890,4.468,1.016,0,48.30,0.0000
"K00762.01","Kepler-666 b","CONFIRMED","CANDIDATE",298.456850,48.791592,4.49876511,2.1,460,3.7362,1133.0,389.62,6075.00,0.9690,1.0480,4.486,0.312,0,29.50,1.0000
"K00763.01",,"FALSE POSITIVE","FALSE POSITIVE",291.093900,48.933842,19.651209505,12.42,11766.3,5.2514,730.0,67.03,6074.00,1.0630,1.0140,4.391,0.723,0,513.40,0.0000
"K00764.01","Kepler-667 b","CONFIRMED","CANDIDATE",295.555050,49.017342,41.43958662,5.5,2793.1,10.5989,516.0,16.72,5468.00,1.0460,0.9300,4.367,0.355,0,141.10,0.9980
"K00765.01","Kepler-668 b","CONFIRMED","CANDIDATE",285.499240,49.277351,8.35389523,2.52,1041.6,2.2514,790.0,91.90,5592.00,0.7870,0.8620,4.582,0.023,0,43.40,1.0000
"K00766.01","Kepler-669 b","CONFIRMED","CANDIDATE",291.936160,49.253979,4.125543472,4.43,1487.3,3.1744,1243.0,565.35,6174.00,1.1030,1.1620,4.417,0.597,0,128.60,1.0000
"K00767.01","Kepler-670 b","CONFIRMED","CANDIDATE",297.015470,49.225288,2.816504904,12.21,16813.7,2.50587,1219.0,521.13,5532.00,0.9550,0.9410,4.452,0.105,0,1406.80,1.0000
"K00768.01",,"FALSE POSITIVE","FALSE POSITIVE",284.172330,49.360722,33.93373447,7.34,8503.7,14.561,430.0,8.11,5040.00,0.7050,0.7820,4.628,0.812,0,236.10,0.0000
"K00769.01","Kepler-671 b","CONFIRMED","CANDIDATE",294.265810,49.314091,4.280963604,2.3,750.8,2.875,1012.0,247.87,5644.00,0.8310,0.9280,4.564,0.424,0,61.80,1.0000
"K00770.01",,"FALSE POSITIVE","FALSE POSITIVE",295.665220,49.351009,1.50635409,4.53,2211.7,1.5155,1452.0,1054.12,5714.00,0.8310,0.9260,4.563,0.86,0,181.10,0.0000
"K00771.01",,"FALSE POSITIVE","FALSE POSITIVE",296.698610,49.316479,670.645531,14.14,18090.6,53.412,196.0,0.35,5520.00,0.9830,1.0300,4.466,0.701,0,642.70,0.0000
"K00772.01",,"FALSE POSITIVE","FALSE POSITIVE",283.725920,49.479519,61.2563628,39.87,5123.3,7.633,505.0,15.43,6144.00,1.0910,1.0930,4.402,1.248,0,85.30,0.0000
"K00773.01","Kepler-672 b","CONFIRMED","CANDIDATE",291.722020,49.480869,38.3775486,2.82,724.2,5.588,529.0,18.53,5481.00,1.0360,0.9150,4.369,0.468,0,34.70,1.0000
"K00774.01",,"FALSE POSITIVE","FALSE POSITIVE",288.986820,49.733742,7.442652004,15.03,24446.2,2.3078,967.0,206.78,6108.00,0.9560,0.9810,4.469,0.137,0,835.60,0.0140
